ts,temp,humidity,soil,ph
2026-01-29T12:04:30.589821+00:00,23.1,76.9,100.0,7.0
2026-01-29T12:04:36.235150+00:00,23.0,76.9,100.0,7.0
2026-01-29T12:04:41.890860+00:00,23.1,76.9,100.0,7.0
2026-01-29T12:04:47.569516+00:00,23.0,76.9,100.0,7.0
2026-01-29T12:04:53.259757+00:00,23.0,77.1,100.0,7.0
2026-01-29T12:04:58.946546+00:00,23.0,76.9,100.0,7.0
2026-01-29T12:05:04.662382+00:00,23.0,77.0,100.0,7.0
2026-01-29T12:05:10.346959+00:00,23.1,77.1,100.0,7.0
2026-01-29T12:05:15.995667+00:00,23.1,77.2,100.0,7.0
2026-01-29T12:05:21.667331+00:00,23.1,77.4,100.0,7.0
2026-01-29T12:05:27.340845+00:00,23.1,77.4,100.0,7.0
2026-01-29T12:05:33.035333+00:00,23.1,77.5,100.0,7.0
2026-01-29T12:05:38.654918+00:00,23.1,77.3,100.0,7.0
2026-01-29T12:05:44.319559+00:00,23.1,77.4,100.0,7.0
2026-01-29T12:05:49.994665+00:00,23.1,77.5,100.0,7.0
2026-01-29T12:05:55.687075+00:00,23.1,77.7,100.0,7.0
2026-01-29T12:06:01.418894+00:00,23.1,77.6,100.0,7.0
2026-01-29T12:06:07.072667+00:00,23.1,77.9,100.0,7.0
2026-01-29T12:06:12.710091+00:00,23.1,77.7,100.0,7.0
2026-01-29T12:06:18.384271+00:00,23.1,77.6,100.0,7.0
2026-01-29T12:06:24.102675+00:00,23.1,77.7,100.0,7.0
2026-01-29T12:06:29.752237+00:00,23.1,77.7,100.0,7.0
2026-01-29T12:06:35.365776+00:00,23.1,77.8,100.0,7.0
2026-01-29T12:06:41.137321+00:00,23.1,78.0,100.0,7.0
2026-01-29T12:06:46.865882+00:00,23.1,77.8,100.0,7.0
2026-01-29T12:06:52.513701+00:00,23.1,78.0,100.0,7.0
2026-01-29T12:06:58.206538+00:00,23.1,77.8,100.0,7.0
2026-01-29T12:07:03.874506+00:00,23.1,78.2,100.0,7.0
2026-01-29T12:07:09.541766+00:00,23.1,78.2,100.0,7.0
2026-01-29T12:07:15.249036+00:00,23.1,78.1,100.0,7.0
2026-01-29T12:07:20.988447+00:00,23.1,78.3,100.0,7.0
2026-01-29T12:07:26.703121+00:00,23.1,78.1,100.0,7.0
2026-01-29T12:07:32.427340+00:00,23.1,78.1,100.0,7.0
2026-01-29T12:07:38.121308+00:00,23.1,78.2,100.0,7.0
2026-01-29T12:07:43.878879+00:00,23.1,78.3,100.0,7.0
